TweetID,TweetSource,Tweet
3364,Facebook,"I mentioned on Facebook that I was struggling for motivation to go for a run the other day, which has been translated by Tomâ€™s great auntie as â€˜Hayley canâ€™t get out of bedâ€™ and told to his grandma, who now thinks Iâ€™m a lazy, terrible person ðŸ¤£"
352,Amazon,BBC News - Amazon boss Jeff Bezos rejects claims company acted like a 'drug dealer' bbc.co.uk/news/av/busineâ€¦
8312,Microsoft,@Microsoft Why do I pay for WORD when it functions so poorly on my @SamsungUS Chromebook? ðŸ™„
4371,CS-GO,"CSGO matchmaking is so full of closet hacking, it's a truly awful game."
4433,Google,Now the President is slapping Americans in the face that he really did commit an unlawful act after his  acquittal! From Discover on Google vanityfair.com/news/2020/02/tâ€¦
6273,FIFA,"Hi @EAHelp Iâ€™ve had Madeleine McCann in my cellar for the past 13 years and the little sneaky thing just escaped whilst I was loading up some fifa points, she took my card and Iâ€™m having to use my paypal account but it isnâ€™t working, can you help me resolve it please?"
7925,MaddenNFL,"Thank you @EAMaddenNFL!! 

New TE Austin Hooper in the ORANGE & BROWN!! 

#Browns | @AustinHooper18 

 pic.twitter.com/GRg4xzFKOn"
11332,TomClancysRainbowSix,"Rocket League, Sea of Thieves or Rainbow Six: SiegeðŸ¤”? I love playing all three on stream but which is the best? #stream #twitch #RocketLeague #SeaOfThieves #RainbowSixSiege #follow"
1107,AssassinsCreed,my ass still knee-deep in Assassins Creed Odyssey with no way out anytime soon lmao
2069,CallOfDuty,FIX IT JESUS ! Please FIX IT ! What In the world is going on here.  @PlayStation @AskPlayStation @Playstationsup @Treyarch @CallofDuty negative 345 silver wolf error code pic.twitter.com/ziRyhrf59Q
3185,Dota2,"The professional dota 2 scene is fucking exploding and I completely welcome it.

Get the garbage out."
1172,AssassinsCreed,"Itching to assassinate 

#TCCGif #AssassinsCreedBlackFlag #AssassinsCreed #TheCapturedCollective pic.twitter.com/vv8MOGtCjw"
11783,Verizon,"@FredTJoseph hey fred, Comcast cut the cable and now Verizon stays calling me to shut that too pic.twitter.com/CPWSrmueDg"
4286,CS-GO,CSGO WIngman (Im Silver dont bully) twitch.tv/lprezh
8431,NBA2K,@NBA2K game sucks... down by 2 with 38 seconds left and my team intentionally fouls
9135,Nvidia,"Congrats to the NVIDIA NeMo team for the 1.0.0 release candidate!
Really excited to see NeMo embracing Hydra as the way to take control over the configuration madness that is machine learning! :)"
4822,GrandTheftAuto(GTA),yeah and itâ€™s fun
3068,Dota2,fuck my life ðŸ˜†
10537,RedDeadRedemption(RDR),happy birthday red dead redemption that shit changed my life what a crazy experience
